Number,ID,Birth Place,Native Language,Other Language(s),Age,Sex,Age of Onset,Learning Method,English Residence,Length of Residence
1,61,"pittsburgh, pennsylvania, usa",english,mandarin ,42,male,0,naturalistic,usa,41 years
2,77,"birmingham, uk",english,german mandarin ,30,female,0,naturalistic,uk,30 years
3,88,"brisbane, australia",english,none,26,female,0,naturalistic,australia,26 years
4,99,"saint anne's bay, jamaica",english,spanish french ,53,female,0,naturalistic,"jamaica,usa",53 years
5,110,"fairfax, virginia, usa",english,none,62,male,0,naturalistic,usa,62 years
6,121,"brooklyn, new york, usa",english,french spanish ,45,female,0,naturalistic,usa,45 years
7,132,"macon, mississippi, usa",english,spanish french ,52,male,0,naturalistic,usa,52 years
8,143,"perth, australia",english,french ,21,female,0,naturalistic,"australia,usa",4 years
9,154,"carthage, texas, usa",english,spanish ,48,female,0,naturalistic,usa,48 years
10,62,"davenport, iowa, usa",english,none,35,female,0,naturalistic,usa,35 years
11,68,"staffordshire, uk",english,french ,35,female,0,naturalistic,uk,35 years
12,69,"leicester, uk",english,french ,71,female,0,naturalistic,uk,71 years
13,70,"henley on thames, oxfordshire, uk",english,none,69,male,0,naturalistic,uk,69 years
14,71,"belfast, northern ireland, uk",english,french ,40,male,0,naturalistic,"uk,usa",40 years
15,72,"norton, virginia, usa",english,none,7,female,0,naturalistic,usa,7 years
16,73,"wise, virginia, usa",english,spanish ,21,male,0,naturalistic,usa,21 years
17,74,"darwin va, virginia, usa",english,none,79,male,0,naturalistic,usa,79 years
18,75,"dickenson county, virginia, usa",english,none,39,female,0,naturalistic,usa,39 years
19,76,"louisville, kentucky, usa",english,spanish ,53,male,0,naturalistic,usa,53 years
20,78,"mt. holly, north carolina, usa",english,none,27,female,0,naturalistic,usa,27 years
21,79,"boston, massachusetts, usa",english,italian ,37,female,0,naturalistic,usa,37 years
22,80,"panama city, panama",english,spanish ,25,female,0,naturalistic,usa,5 years
23,81,"englewood, tennessee, usa",english,none,43,male,0,naturalistic,usa,43 years
24,82,"glasgow, scotland, uk",english,french ,37,male,0,naturalistic,"uk,usa",37 years
25,83,"atlanta, georgia, usa",english,none,57,male,0,naturalistic,usa,57 years
26,84,"smith island, maryland, usa",english,none,71,male,0,naturalistic,usa,71 years
27,85,"smith island, maryland, usa",english,none,37,female,0,naturalistic,usa,37 years
28,86,"toronto, ontario, canada",english,french russian ,54,male,0,naturalistic,canada,54 years
29,87,"lindsay, ontario, canada",english,none,54,female,0,naturalistic,canada,54 years
30,89,"st. mary's, ontario, canada",english,french swedish ,30,female,0,naturalistic,canada,30 years
31,90,"st. augustine, trinidad",english,none,31,female,0,naturalistic,"trinidad,usa",31 years
32,91,"fresno, california, usa",english,none,50,female,0,naturalistic,usa,50 years
33,92,"san diego, california, usa",english,none,21,male,0,naturalistic,usa,21 years
34,93,"ronkonkoma, new york, usa",english,french ,18,female,0,naturalistic,usa,18 years
35,94,"milwaukee, wisconsin, usa",english,spanish ,60,female,0,naturalistic,usa,60 years
36,95,"arcadia, wisconsin, usa",english,none,60,male,0,naturalistic,usa,60 years
37,96,"yole, india",english,hindi-urdu french ,28,female,0,naturalistic,usa,7 years
38,97,"littlehampton, uk",english,none,27,male,0,naturalistic,uk,27 years
39,98,"new orleans, louisiana, usa",english,none,59,female,0,naturalistic,usa,59 years
40,100,"dudley, uk",english,none,53,male,0,naturalistic,uk,53 years
41,101,"wellington, new zealand",english,hebrew french ,44,male,0,naturalistic,new zealand,21 years
42,102,"nigel, south africa",english,afrikaans zulu ,65,male,0,naturalistic,south africa,60 years
43,103,"vancouver, british columbia, canada",english,none,47,male,0,naturalistic,canada,47 years
44,104,"winston salem, north carolina, usa",english,spanish french ,63,female,0,naturalistic,usa,63 years
45,105,"pine bluff, arkansas, usa",english,none,52,male,0,naturalistic,usa,52 years
46,106,"creswell, north carolina, usa",english,none,73,male,0,naturalistic,usa,73 years
47,107,"plantersville, arkansas, usa",english,none,76,female,0,naturalistic,usa,76 years
48,108,"port moresby, national capital district, papua new guinea",english,tok pisin igbo ,26,male,0,naturalistic,"papua new guinea,uk,usa",26 years
49,109,"castro valley, california, usa",english,none,43,male,0,naturalistic,usa,43 years
50,111,"baltic, south dakota, usa",english,french ,29,female,0,naturalistic,usa,29 years
51,112,"detroit, michigan, usa",english,italian ,67,male,0,naturalistic,usa,67 years
52,113,"calgary, alberta, canada",english,none,20,male,0,naturalistic,"canada, usa",20 years
53,114,"syracuse, new york, usa",english,none,63,male,0,naturalistic,usa,63 years
54,115,"new albany, indiana, usa",english,none,40,female,0,naturalistic,usa,40 years
55,116,"st. louis, missouri, usa",english,none,53,female,0,naturalistic,usa,53 years
56,117,"londonderry, northern ireland, uk",english,ulster scots ,20,male,0,naturalistic,northern ireland,20 years
57,118,"birmingham 1, uk",english,french spanish ,34,male,0,naturalistic,"uk,canada",34 years
58,119,"southhampton, uk",english,none,46,female,0,naturalistic,"uk,usa",16 years
59,120,"columbus, ohio, usa",english,greek german ,30,male,0,naturalistic,usa,30 years
60,122,"chesapeake, virginia, usa",english,none,18,male,0,naturalistic,usa,18 years
61,123,"toronto, ontario, canada",english,none,19,male,0,naturalistic,canada,19 years
62,124,"west jordan, utah, usa",english,none,30,male,0,naturalistic,usa,30 years
63,125,"lewisville, texas, usa",english,spanish ,21,male,0,naturalistic,usa,21 years
64,126,"montreal, quebec, canada",english,french ,25,female,0,naturalistic,canada,25 years
65,127,"lewistown, pennsylvania, usa",english,none,47,male,0,naturalistic,usa,47 years
66,128,"baltimore, maryland, usa",english,none,19,male,0,naturalistic,usa,19 years
67,129,"princeton, indiana, usa",english,french ,37,male,0,naturalistic,usa,37 years
68,130,"new york, new york, usa",english,none,52,male,0,naturalistic,usa,52 years
69,131,"adelaide, australia",english,korean ,23,male,0,naturalistic,australia,23 years
70,133,"beaumont, texas, usa",english,none,21,male,0,naturalistic,usa,21 years
71,134,"west covina, california, usa",english,none,20,male,0,naturalistic,usa,20 years
72,135,"kilkenny, ireland",english,irish ,31,male,0,naturalistic,ireland,31 years
73,136,"darwin, australia",english,none,24,male,0,naturalistic,australia,24 years
74,137,"wichita, kansas, usa",english,spanish ,21,male,0,naturalistic,usa,21 years
75,138,"idaho falls, idaho, usa",english,none,32,male,0,naturalistic,usa,32 years
76,139,"boston, massachusetts, usa",english,french spanish hebrew ,18,female,0,naturalistic,usa,18 years
77,140,"melbourne, australia",english,japanese ,26,male,0,naturalistic,australia,26 years
78,141,"caribou, maine, usa",english,french ,20,female,0,naturalistic,usa,20 years
79,142,"boston, massachusetts, usa",english,none,73,male,0,naturalistic,usa,73 years
80,144,"glasgow, scotland, uk",english,none,34,male,0,naturalistic,"uk, canada",34 years
81,145,"st. paul, minnesota, usa",english,spanish ,30,male,0,naturalistic,usa,30 years
82,146,"chicago, illinois, usa",english,none,50,female,0,naturalistic,usa,50 years
83,147,"winnfield, louisiana, usa",english,french ,42,female,0,naturalistic,usa,42 years
84,148,"sydney, australia",english,tok pisin ,45,male,0,naturalistic,australia,45 years
85,149,"strabane, northern ireland, uk",english,none,31,male,0,naturalistic,uk,31 years
86,150,"charleston, south carolina, usa",english,spanish ,50,male,0,naturalistic,usa,50 years
87,151,"tamworth, australia",english,esperanto german ,18,female,0,naturalistic,australia,18 years
88,152,"grand rapids, michigan, usa",english,none,18,male,0,naturalistic,usa,18 years
89,153,"kingston ma, massachusetts, usa",english,spanish ,18,male,0,naturalistic,usa,18 years
90,155,"pittsburgh, pennsylvania, usa",english,none,53,male,0,naturalistic,usa,53 years
91,156,"kingston, jamaica",english,patois ,23,male,0,naturalistic,jamaica,23 years
92,157,"wisconsin rapids, wisconsin, usa",english,none,22,female,0,naturalistic,usa,22 years
93,158,"mamou, louisiana, usa",english,none,22,female,0,naturalistic,usa,22 years
94,159,"pensacola, florida, usa",english,none,55,female,0,naturalistic,usa,55 years
95,160,"mishawaka, indiana, usa",english,none,18,male,0,naturalistic,usa,18 years
96,161,"point pleasant, new jersey, usa",english,russian ,31,male,0,naturalistic,usa,31 years
97,162,"wilmington nc, north carolina, usa",english,spanish ,42,male,0,naturalistic,usa,42 years
98,163,"spokane, washington, usa",english,spanish ,22,male,0,naturalistic,usa,22 years
99,164,"pittsburgh, pennsylvania, usa",english,french spanish ,52,female,0,naturalistic,usa,52 years
100,63,"miami, florida, usa",english,none,23,female,0,naturalistic,usa,23 years
101,64,"toronto, ontario, canada",english,french mandarin ,18,female,0,naturalistic,canada,18 years
102,65,"torrington, connecticut, usa",english,none,22,male,0,naturalistic,usa,22 years
103,66,"staten island, new york, usa",english,german ,21,male,0,naturalistic,usa,21 years
104,67,"youngstown, ohio, usa",english,spanish ,18,female,0,naturalistic,usa,18 years
105,407,"windsor, ontario, canada",english,none,57,male,0,naturalistic,canada,57 years
106,408,"los angeles, california, usa",english,spanish ,39,female,0,naturalistic,usa,39 years
107,416,"chicago, illinois, usa",english,spanish ,19,male,0,naturalistic,usa,19 years
108,419,"strabane, northern ireland, uk",english,dutch french german spanish ,21,male,0,naturalistic,uk,21.5 years
109,420,"concord, new hampshire, usa",english,irish ,26,female,0,naturalistic,usa,26 years
110,421,"great yarmouth, norfolk, uk",english,japanese ,21,male,0,naturalistic,uk,0 years
111,426,"bombay, india",english,hindi-urdu french ,21,male,0,naturalistic,"india, usa",4 years
112,427,"st. thomas, us virgin islands",english,french ,21,male,0,naturalistic,us virgin islands,21 years
113,439,"wrexham, wales, uk",english,french welsh ,31,male,0,naturalistic,"wales, australia",31 years
114,442,"birmingham 2, alabama, usa",english,none,38,female,0,naturalistic,usa,38 years
115,443,"st. albans, hertfordshire, uk",english,none,31,male,0,naturalistic,uk,31 years
116,444,"atlanta, georgia, usa",english,none,56,male,0,naturalistic,usa,56 years
117,445,"elmore, alabama, usa",english,none,60,female,0,naturalistic,usa,60 years
118,446,"akron, ohio, usa",english,none,19,male,0,naturalistic,usa,17 years
119,455,"saskatoon, saskatchewan, canada",english,none,32,female,0,naturalistic,canada,32 years
120,456,"saskatoon, saskatchewan, canada",english,german ,65,male,0,naturalistic,canada,65 years
121,465,"waconia, minnesota, usa",english,french ,21,male,0,naturalistic,usa,21 years
122,468,"kuala lumpur, malaysia",english,mandarin japanese ,20,female,0,naturalistic,"singapore,usa",13 years
123,469,"riverside, california, usa",english,none,28,female,0,naturalistic,"usa, uk",23 years
124,480,"brooklyn, new york, usa",english,none,38,male,0,naturalistic,usa,38 years
125,485,"st. george, queensland, australia",english,none,28,male,0,naturalistic,australia,28 years
126,487,"cincinnati, ohio, usa",english,spanish ,34,female,0,naturalistic,usa,34 years
127,489,"new britain, connecticut, usa",english,none,39,male,0,naturalistic,usa,39 years
128,490,"miami, florida, usa",english,french ,20,female,0,naturalistic,usa,20 years
