Number,ID,Birth Place,Native Language,Other Language(s),Age,Sex,Age of Onset,Learning Method,English Residence,Length of Residence
1,256,"shanxi province, shanxi, china",mandarin,none,26,female,13,academic,usa,2 years
2,257,"nanjing, china",mandarin,japanese ,38,female,14,academic,usa,0.8 years
3,258,"jilin city, jilin, china",mandarin,italian german french ,43,male,10,academic,usa,14 years
4,259,"shanghai, china",mandarin,japanese ,24,female,6,academic,usa,1 years
5,260,"beijing, china",mandarin,none,31,female,12,academic,usa,2 years
6,261,"le shan, sichuan, china",mandarin,none,28,female,12,academic,usa,5 years
7,262,"berkeley, california, usa",mandarin,mandarin ,22,male,5,naturalistic,usa,22 years
8,430,"jingmen, hubei, china",mandarin,none,29,male,12,academic,usa,5 years
9,451,"shanghai, china",mandarin,none,38,male,12,academic,usa,2 years
10,491,"beijing, china",mandarin,none,19,male,3,academic,south africa,3.75 years
11,607,"kao-hsiung, taiwan",mandarin,cantonese ,53,female,13,academic,usa,33 years
12,623,"singapore, singapore",mandarin,cantonese spanish french ,23,male,1,naturalistic,"singapore, uk",23 years
13,685,"nantou, taiwan",mandarin,taiwanese ,29,male,13,academic,,0 years
14,719,"dalian, liaoning, china",mandarin,none,49,male,20,academic,usa,21 years
15,746,"tainan, taiwan",mandarin,french swedish japanese ,28,female,11,academic,"new zealand, usa, uk",4 years
16,750,"taipei, taiwan",mandarin,taiwanese japanese ,32,male,10,academic,usa,1.35 years
17,796,"wuhan, hubei, china",mandarin,none,26,male,13,academic,canada,2 years
18,872,"taoyuan, taiwan",mandarin,hakka ,29,female,13,academic,,0 years
19,916,"qinzhou, guangxi, china",mandarin,none,27,male,13,academic,australia,0.33 years
20,931,"ping tong, taiwan",mandarin,russian ,40,female,12,academic,usa,5 years
21,984,"chengdu, sichuan, china",mandarin,none,38,female,9,academic,usa,13 years
22,1019,"haikou, hainan, china",mandarin,cantonese taiwanese ,39,female,11,academic,usa,3 years
23,1044,"kao-hsiung, taiwan",mandarin,cantonese taiwanese ,46,female,13,academic,usa,22 years
24,1089,"shanghai, china",mandarin,none,21,female,10,academic,,0 years
25,1125,"wuxi, jiangsu, china",mandarin,german ,28,female,13,academic,usa,0.8 years
26,1141,"emei, sichuan, china",mandarin,none,31,female,12,academic,usa,3 years
27,1154,"chengdu, sichuan, china",mandarin,none,18,male,15,academic,usa,3 years
28,1447,"shanghai, china",mandarin,none,45,male,15,academic,usa,20 years
29,1490,"lanzhou, gansu, china",mandarin,none,24,male,4,academic,,0 years
30,1491,"taipei, taiwan",mandarin,none,27,male,13,academic,usa,1 years
31,1519,"wenzhou, zhejiang, china",mandarin,none,26,female,13,academic,usa,2.5 years
32,1527,"taipei, taiwan",mandarin,japanese ,23,female,12,academic,usa,2 years
33,1541,"beijing, china",mandarin,french ,25,male,6,naturalistic,"thailand, australia, usa",20 years
34,1578,"shi jia zhuang, hebei, china",mandarin,japanese ,31,female,13,academic,,0 years
35,1579,"yantai, shandong, china",mandarin,japanese ,27,female,12,academic,,0 years
36,1580,"beijing, china",mandarin,none,32,female,10,academic,,0 years
37,1581,"huhot, nei meng gu, china",mandarin,none,32,female,12,academic,,0 years
38,1582,"changsha, hunan, china",mandarin,none,33,female,12,academic,"australia, usa",0.1 years
39,1583,"tie ling, liaoning, china",mandarin,russian ,24,female,12,academic,,0 years
40,1614,"chengdu, sichuan, china",mandarin,japanese thai ,28,male,12,academic,"singapore, usa",9 years
41,1615,"songyuan, jilin, china",mandarin,none,34,female,13,academic,,0 years
42,1616,"yanbian, jilin, china",mandarin,none,47,female,16,academic,,0 years
43,1617,"datong, shanxi, china",mandarin,none,24,female,15,academic,,0 years
44,1630,"hangzhou, zhejiang, china",mandarin,none,21,male,16,academic,usa,1.5 years
45,1631,"beijing, china",mandarin,none,42,female,12,academic,"usa, australia",0.1 years
46,1636,"jilin city, jilin, china",mandarin,arabic ,43,female,9,academic,,0 years
47,1644,"beijing, china",mandarin,japanese french ,28,female,8,academic,,0 years
48,1645,"pingdingshan, henan, china",mandarin,none,37,male,12,academic,,0 years
49,1736,"shanghai, china",mandarin,french ,21,male,10,academic,australia,2.5 years
50,1788,"hsinchu, taiwan",mandarin,taiwanese ,25,male,9,academic,usa,0.2 years
51,1792,"tianjin, hebei, china",mandarin,none,25,male,10,academic,usa,2 years
52,1793,"shaoxing, zhejiang, china",mandarin,japanese ,26,female,6,academic,usa,1 years
53,1817,"ningbo, zhejiang, china",mandarin,none,38,female,13,academic,usa,15 years
54,1900,"chengdu, sichuan, china",mandarin,japanese ,25,female,10,academic,usa,5 years
55,1909,"loudi, hunan, china",mandarin,japanese spanish ,25,female,13,academic,usa,1.5 years
56,1910,"baoding, hebei, china",mandarin,korean thai ,26,female,11,academic,usa,0.7 years
57,1990,"shanghai, china",mandarin,cantonese ,20,male,12,academic,uk,0.2 years
58,2000,"superior, colorado, usa",mandarin,french ,23,male,7,naturalistic,usa,16 years
59,2019,"kunming, yunnan, china",mandarin,none,20,female,6,academic,usa,0.4 years
